city,state,population,city_tier,last_processed_at
Tucson,AZ,879871,large,2026-06-18T17:00:49+00:00
Bridgeport,CT,921660,large,2026-06-18T16:53:43+00:00
Fort Worth,TX,941311,large,2026-06-18T16:45:59+00:00
Buffalo,NY,949547,large,2026-06-18T16:39:47+00:00
Louisville,KY,965005,large,2026-06-18T14:54:55+00:00
Hartford,CT,969171,large,2026-06-18T14:47:19+00:00
Oklahoma City,OK,1000207,mega,2026-06-18T14:39:18+00:00
Richmond,VA,1081248,mega,2026-06-18T14:32:33+00:00
Raleigh,NC,1150010,mega,2026-06-18T14:25:57+00:00
Salt Lake City,UT,1169033,mega,2026-06-18T14:19:52+00:00
Providence,RI,1270529,mega,2026-06-18T14:13:57+00:00
Milwaukee,WI,1290221,mega,2026-06-18T14:07:02+00:00
Jacksonville,FL,1303156,mega,2026-06-18T13:59:09+00:00
Virginia Beach,VA,1431821,mega,2026-06-18T13:52:09+00:00
Charlotte,NC,1436613,mega,2026-06-18T13:45:26+00:00
Bronx,NY,1472654,mega,2026-06-18T13:37:43+00:00
Columbus,OH,1578153,mega,2026-06-18T13:30:27+00:00
Cleveland,OH,1679247,mega,2026-06-18T13:24:22+00:00
Kansas City,MO,1686807,mega,2026-06-18T13:16:37+00:00
Manhattan,NY,1694263,mega,2026-06-18T13:08:44+00:00
Cincinnati,OH,1704916,mega,2026-06-18T11:18:34+00:00
Pittsburgh,PA,1712828,mega,2026-06-18T11:10:59+00:00
Indianapolis,IN,1740984,mega,2026-06-18T11:04:02+00:00
San Jose,CA,1771563,mega,2026-06-18T10:56:18+00:00
San Juan,PR,1809800,mega,2026-06-18T10:50:45+00:00
Orlando,FL,1913597,mega,2026-06-18T10:43:03+00:00
Sacramento,CA,1962998,mega,2026-06-18T10:34:44+00:00
San Antonio,TX,2069843,mega,2026-06-18T10:27:12+00:00
Portland,OR,2084045,mega,2026-06-18T10:14:44+00:00
St. Louis,MO,2127843,mega,2026-06-18T10:05:02+00:00
Baltimore,MD,2189589,mega,2026-06-18T09:53:18+00:00
Las Vegas,NV,2256509,mega,2026-06-18T09:41:45+00:00
Riverside,CA,2288508,mega,2026-06-18T09:30:07+00:00
Queens,NY,2405464,mega,2026-06-18T09:19:54+00:00
Denver,CO,2691349,mega,2026-06-18T09:08:07+00:00
Brooklyn,NY,2736074,mega,2026-06-18T08:56:58+00:00
Tampa,FL,2906035,mega,2026-06-18T08:44:47+00:00
Minneapolis,MN,2906807,mega,2026-06-18T08:33:39+00:00
San Diego,CA,3057778,mega,2026-06-18T08:14:59+00:00
San Francisco,CA,3364862,mega,2026-06-18T08:02:46+00:00
Seattle,WA,3555253,mega,2026-06-18T07:52:52+00:00
Phoenix,AZ,4065338,mega,2026-06-18T07:42:05+00:00
Boston,MA,4355184,mega,2026-06-18T07:30:35+00:00
Washington,DC,5146120,mega,2026-06-18T07:17:59+00:00
Atlanta,GA,5211164,mega,2026-06-18T07:06:17+00:00
Philadelphia,PA,5696588,mega,2026-06-18T06:52:51+00:00
Dallas,TX,5843632,mega,2026-06-18T06:42:23+00:00
Houston,TX,6046392,mega,2026-06-18T06:32:14+00:00
Miami,FL,6113982,mega,2026-06-18T06:21:26+00:00
Chicago,IL,8489066,mega,2026-06-18T06:09:44+00:00
New York,NY,18832416,mega,2026-06-18T05:58:23+00:00
Detroit,MI,3716929,mega,2026-06-18T05:45:38+00:00
Memphis,TN,1033394,mega,2026-06-18T05:36:48+00:00
New Orleans,LA,918752,large,2026-06-18T05:28:15+00:00
Boise,ID,449428,large,2026-06-17T23:03:58+00:00
Asheville,NC,295040,large,2026-06-17T22:55:33+00:00
Nashville,TN,1178679,mega,2026-06-17T22:49:01+00:00
Los Angeles,CA,11885717,mega,2026-06-17T22:43:28+00:00
Austin,TX,1915031,mega,2026-06-17T22:36:58+00:00
