city,state,population,city_tier,status
El Paso,TX,862494,large,pending
Omaha,NE,826161,large,pending
McAllen,TX,810034,large,pending
Birmingham,AL,778756,large,pending
Albuquerque,NM,767499,large,pending
Tulsa,OK,740620,large,pending
Charleston,SC,726389,large,pending
Fresno,CA,724547,large,pending
Rochester,NY,694707,large,pending
Dayton,OH,667936,large,pending
Cape Coral,FL,656464,large,pending
Provo,UT,639820,large,pending
Colorado Springs,CO,638421,large,pending
Mission Viejo,CA,634674,large,pending
Allentown,PA,632175,large,pending
Baton Rouge,LA,630063,large,pending
Ogden,UT,623688,large,pending
Knoxville,TN,618226,large,pending
Grand Rapids,MI,611480,large,pending
Columbia,SC,605083,large,pending
